query,genus_species,nucleotide_acc,protein_acc,start,end,dir,pfam_id1,description,e_value1,pfam_id2,description_1,e_value2,pfam_id3,description_2,e_value3,x17,x18,x19,x20,x21,x22
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928187.1,8363428,8363734,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459638.1,110,557,+,PF12802,MarR family,7.3e-12,PF01047,MarR family,9.2e-10,PF13463,Winged helix DNA-binding domain,5.2e-9,PF01978,Sugar-specific transcriptional regulator TrmB,2.8e-5,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459639.1,560,1076,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459640.1,1098,2046,+,PF00892,EamA-like transporter family,5.2e-26,PF08627,"CRT-like, chloroquine-resistance transporter-like",2.7e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459641.1,2100,3381,+,PF01590,GAF domain,5.2e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459642.1,3409,4288,+,PF10026,Predicted Zn-dependent protease (DUF2268),2.4e-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459643.1,4332,5313,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,9.6e-23,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.1e-12,PF00108,"Thiolase, N-terminal domain",2.8e-6,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459644.1,5309,6053,+,PF00535,Glycosyl transferase family 2,5.2e-22,PF13641,Glycosyltransferase like family 2,6.2e-13,PF10111,Glycosyltransferase like family 2,1.6e-6,PF13704,Glycosyl transferase family 2,8.9e-5,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459645.1,6049,7210,+,PF00067,Cytochrome P450,1.1e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459646.1,7194,8691,+,PF00501,AMP-binding enzyme,1.3e-41,PF13193,AMP-binding enzyme C-terminal domain,1.2e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459647.1,8675,9548,+,PF01370,NAD dependent epimerase/dehydratase family,1.3e-22,PF04321,RmlD substrate binding domain,3.8e-15,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1.4e-13,PF07993,Male sterility protein,2e-9,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459648.1,9617,10061,+,PF13581,Histidine kinase-like ATPase domain,3.8e-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459649.1,11645,10355,-,PF00266,Aminotransferase class-V,1.4e-72,PF00155,Aminotransferase class I and II,2.2e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459650.1,13316,11861,-,PF00282,Pyridoxal-dependent decarboxylase conserved domain,1.3e-89,PF00266,Aminotransferase class-V,6.1e-8,PF01212,Beta-eliminating lyase,1.8e-4,NA,NA,NA,NA,NA,NA
WP_073459643.1,Pseudonocardia thermophila,NZ_FRAP01000022.1,WP_073459651.1,13612,14785,+,PF07690,Major Facilitator Superfamily,1.7e-42,PF12832,MFS_1 like family,1.1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259962.1,69776,69560,-,PF04149,Domain of unknown function (DUF397),1.6e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259964.1,70102,69772,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259966.1,70630,70153,-,PF13560,Helix-turn-helix domain,9.1e-13,PF01381,Helix-turn-helix,6.2e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259968.1,70742,71981,+,PF00067,Cytochrome P450,1.8e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259970.1,72843,71958,-,PF01370,NAD dependent epimerase/dehydratase family,1.2e-24,PF04321,RmlD substrate binding domain,4.1e-17,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1.4e-15,PF07993,Male sterility protein,1.1e-12,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259972.1,74342,72839,-,PF00501,AMP-binding enzyme,6e-49,PF13193,AMP-binding enzyme C-terminal domain,1.8e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259974.1,75486,74334,-,PF00067,Cytochrome P450,1.7e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259976.1,76229,75482,-,PF00535,Glycosyl transferase family 2,1.9e-22,PF13641,Glycosyltransferase like family 2,2.1e-13,PF10111,Glycosyltransferase like family 2,8.8e-6,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259978.1,77224,76225,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,8.8e-22,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,3.9e-12,PF00108,"Thiolase, N-terminal domain",4.2e-8,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259980.1,77421,78150,+,PF07729,FCD domain,3e-26,PF00392,"Bacterial regulatory proteins, gntR family",1.7e-22,PF13545,Crp-like helix-turn-helix domain,1.5e-5,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259982.1,78791,79049,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259984.1,79147,79981,+,PF00881,Nitroreductase family,8.9e-11,PF14512,Putative TM nitroreductase,7.9e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259986.1,80207,79985,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259988.1,80531,81716,+,PF08028,"Acyl-CoA dehydrogenase, C-terminal domain",9.7e-15,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",3.2e-6,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",4.9e-4,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259990.1,82755,82233,-,PF01613,Flavin reductase like domain,1e-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093259978.1,Saccharopolyspora shandongensis,NZ_FNOK01000001.1,WP_093259992.1,83110,82762,-,PF12973,ChrR Cupin-like domain,1.4e-9,PF07883,Cupin domain,1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101228.1,4170214,4169722,-,PF10648,Immunoglobulin-like domain of bacterial spore germination,3.6e-21,PF01476,LysM domain,1.2e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101229.1,4171294,4170448,-,PF13460,NAD(P)H-binding,4.9e-20,PF05368,NmrA-like family,8.6e-20,PF01370,NAD dependent epimerase/dehydratase family,2.3e-7,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101230.1,4171377,4171755,+,PF01638,HxlR-like helix-turn-helix,1.2e-25,PF03551,Transcriptional regulator PadR-like family,5.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_041313213.1,4171930,4172701,+,PF02146,Sir2 family,1.8e-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101232.1,4173537,4172655,-,PF01370,NAD dependent epimerase/dehydratase family,2.4e-16,PF04321,RmlD substrate binding domain,1.5e-12,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,5e-10,PF07993,Male sterility protein,3.6e-7,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101233.1,4175039,4173536,-,PF00501,AMP-binding enzyme,6.7e-50,PF13193,AMP-binding enzyme C-terminal domain,5.6e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101234.1,4176168,4175031,-,PF00067,Cytochrome P450,3.8e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101235.1,4176917,4176164,-,PF00535,Glycosyl transferase family 2,8.1e-26,PF13641,Glycosyltransferase like family 2,3e-19,PF10111,Glycosyltransferase like family 2,2.4e-7,PF11316,Putative rhamnosyl transferase,8.8e-5,PF13704,Glycosyl transferase family 2,6.9e-4
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101236.1,4177900,4176913,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2.3e-19,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.5e-12,PF00108,"Thiolase, N-terminal domain",1.3e-6,PF08392,FAE1/Type III polyketide synthase-like protein,4.7e-4,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101237.1,4179286,4178086,-,PF00067,Cytochrome P450,7.3e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101238.1,4180470,4179306,-,PF07992,Pyridine nucleotide-disulphide oxidoreductase,3.7e-43,PF14759,Reductase C-terminal,2.4e-11,PF00070,Pyridine nucleotide-disulphide oxidoreductase,5.4e-11,PF13738,Pyridine nucleotide-disulphide oxidoreductase,6.2e-4,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_041317266.1,4180664,4180466,-,PF13370,4Fe-4S single cluster domain of Ferredoxin I,1.8e-13,PF13459,4Fe-4S single cluster domain,9.5e-12,PF06902,Divergent 4Fe-4S mono-cluster,1.7e-9,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_084672701.1,4181028,4180731,-,PF01744,GLTT repeat (6 copies),5.2e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101240.1,4181691,4181037,-,PF00440,"Bacterial regulatory proteins, tetR family",2e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_015101241.1,4182881,4181684,-,PF00067,Cytochrome P450,5.8e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_015101236.1,Saccharothrix espanaensis DSM 44229,NC_019673.1,WP_041313216.1,4184958,4182951,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203526.1,314431,313729,-,PF02742,"Iron dependent repressor, metal binding and dimerisation domain",5.7e-29,PF01325,"Iron dependent repressor, N-terminal DNA binding domain",7.5e-20,PF13412,Winged helix-turn-helix DNA-binding,3.3e-5,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203527.1,314471,315584,+,PF00266,Aminotransferase class-V,4e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203529.1,315593,315839,+,PF10745,Protein of unknown function (DUF2530),1.7e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203530.1,316607,315971,-,PF11228,Protein of unknown function (DUF3027),6.5e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203532.1,316983,316599,-,PF00313,'Cold-shock' DNA-binding domain,1.2e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203533.1,316981,317314,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203534.1,317300,319157,+,PF13625,Helicase conserved C-terminal domain,6.4e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203535.1,319181,320828,+,PF16203,ERCC3/RAD25/XPB C-terminal helicase,1.9e-46,PF13625,Helicase conserved C-terminal domain,1.2e-44,PF04851,"Type III restriction enzyme, res subunit",4.1e-14,PF00271,Helicase conserved C-terminal domain,4.4e-12,PF00176,SNF2 family N-terminal domain,6.6e-6
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203537.1,320916,321939,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,8e-22,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,3.2e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203538.1,321935,322718,+,PF00535,Glycosyl transferase family 2,6.3e-16,PF13641,Glycosyltransferase like family 2,3.6e-10,PF10111,Glycosyltransferase like family 2,3.4e-6,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203539.1,322714,323926,+,PF00067,Cytochrome P450,2.6e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203540.1,323922,325542,+,PF00501,AMP-binding enzyme,2.1e-42,PF13193,AMP-binding enzyme C-terminal domain,2.4e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203543.1,325538,326474,+,PF01370,NAD dependent epimerase/dehydratase family,5.1e-24,PF04321,RmlD substrate binding domain,2.5e-16,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,2.9e-14,PF07993,Male sterility protein,6.5e-10,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_026037533.1,326711,326900,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203546.1,327794,327539,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_050993002.1,327982,328630,+,PF00486,"Transcriptional regulatory protein, C terminal",6.6e-27,PF00072,Response regulator receiver domain,2.2e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_010203537.1,Salinibacterium sp. PAMC 21357,NZ_AHWA01000004.1,WP_010203549.1,328722,330432,+,PF02518,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",5.4e-24,PF00512,His Kinase A (phospho-acceptor) domain,6.2e-17,PF00672,HAMP domain,3.2e-12,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172781.1,41903,40292,-,PF00005,ABC transporter,9.1e-38,PF13304,"AAA domain, putative AbiEii toxin, Type IV TA system",1.3e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172878.1,42736,42019,-,PF00551,Formyl transferase,2.8e-25,PF02911,"Formyl transferase, C-terminal domain",4.4e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172880.1,46020,45129,-,PF00196,"Bacterial regulatory proteins, luxR family",2.5e-11,PF13556,PucR C-terminal helix-turn-helix domain,5.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172783.1,47797,46624,-,PF00067,Cytochrome P450,2.1e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172785.1,51222,48042,-,PF03704,Bacterial transcriptional activator domain,1.2e-36,PF13424,Tetratricopeptide repeat,5.4e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172787.1,51826,51226,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172789.1,52635,52059,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172791.1,54041,52958,-,PF07070,SpoOM protein,4e-81,PF09849,Uncharacterized protein conserved in bacteria (DUF2076),3.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172793.1,54270,55239,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,7e-17,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,3e-14,PF00108,"Thiolase, N-terminal domain",6.2e-4,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172795.1,55238,55991,+,PF00535,Glycosyl transferase family 2,5.5e-21,PF13641,Glycosyltransferase like family 2,1.7e-11,PF10111,Glycosyltransferase like family 2,3.4e-5,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172882.1,55999,57187,+,PF00067,Cytochrome P450,7.8e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172797.1,57183,58653,+,PF00501,AMP-binding enzyme,4.4e-45,PF13193,AMP-binding enzyme C-terminal domain,8.7e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172799.1,58649,59570,+,PF01370,NAD dependent epimerase/dehydratase family,8.1e-22,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,7.3e-18,PF07993,Male sterility protein,3.4e-12,PF04321,RmlD substrate binding domain,3.5e-11,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172801.1,59681,61052,+,PF03816,Cell envelope-related transcriptional attenuator domain,5.8e-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172803.1,61330,62404,+,PF13379,NMT1-like family,4e-39,PF09084,NMT1/THI5 like,1.3e-16,PF12974,"ABC transporter, phosphonate, periplasmic substrate-binding protein",5e-9,PF04069,Substrate binding domain of ABC-type glycine betaine transport system,3.1e-8,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172805.1,62400,63192,+,PF00005,ABC transporter,1.3e-28,PF13304,"AAA domain, putative AbiEii toxin, Type IV TA system",7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_093172793.1,Sinosporangium album,NZ_FNCN01000023.1,WP_093172807.1,63218,64100,+,PF00528,Binding-protein-dependent transport system inner membrane component,5.2e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_009720329.1,1120063,1120687,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_009720330.1,1121799,1120683,-,PF00924,Mechanosensitive ion channel,5e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_063727373.1,1124898,1123188,-,PF00128,"Alpha amylase, catalytic domain",9.6e-80,PF11941,Domain of unknown function (DUF3459),1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_009720333.1,1125347,1126580,+,PF13377,Periplasmic binding protein-like domain,1.9e-28,PF00356,"Bacterial regulatory proteins, lacI family",1.7e-16,PF00532,Periplasmic binding proteins and sugar binding domain of LacI family,1.4e-15,PF13407,Periplasmic binding protein domain,7.2e-9,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_063727375.1,1127508,1126554,-,PF01370,NAD dependent epimerase/dehydratase family,3.4e-20,PF04321,RmlD substrate binding domain,3e-15,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1.3e-11,PF07993,Male sterility protein,5.8e-8,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_063727377.1,1128623,1127504,-,PF00067,Cytochrome P450,3.1e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_079151706.1,1130176,1128619,-,PF00501,AMP-binding enzyme,2e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_063727379.1,1130910,1130175,-,PF00535,Glycosyl transferase family 2,1.9e-20,PF13641,Glycosyltransferase like family 2,4.1e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_009720337.1,1131944,1130915,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,9.5e-18,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,7.8e-16,PF00108,"Thiolase, N-terminal domain",1.8e-6,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_009720338.1,1132141,1132588,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_063727382.1,1133485,1132666,-,PF03067,"Lytic polysaccharide mono-oxygenase, cellulose-degrading",1.4e-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_063727384.1,1134313,1133551,-,PF01738,Dienelactone hydrolase family,7.2e-49,PF00326,Prolyl oligopeptidase family,1.1e-4,PF08840,BAAT / Acyl-CoA thioester hydrolase C terminal,1.5e-4,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_079151707.1,1134591,1135893,+,PF13556,PucR C-terminal helix-turn-helix domain,4.3e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_079151728.1,1136611,1138273,+,PF00474,Sodium:solute symporter family,2e-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_063727628.1,1138202,1138985,+,PF00359,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",2.3e-27,PF02302,"PTS system, Lactose/Cellobiose specific IIB subunit",3.2e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_009720337.1,Streptomyces sp. RTd22,NZ_LXIC01000001.1,WP_063727387.1,1139006,1140581,+,PF03611,PTS system sugar-specific permease component,3.5e-129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_019356923.1,Streptomyces sp. CNT318,NZ_AUKN01000008.1,WP_027760259.1,53443,54439,+,PF04545,"Sigma-70, region 4",5.2e-21,PF04539,Sigma-70 region 3,8.5e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_019356923.1,Streptomyces sp. CNT318,NZ_AUKN01000008.1,WP_027760260.1,55191,54654,-,PF12802,MarR family,2.9e-11,PF01047,MarR family,7e-11,PF13463,Winged helix DNA-binding domain,2.2e-6,NA,NA,NA,NA,NA,NA
WP_019356923.1,Streptomyces sp. CNT318,NZ_AUKN01000008.1,WP_078534371.1,56651,55187,-,PF07690,Major Facilitator Superfamily,1.6e-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_019356923.1,Streptomyces sp. CNT318,NZ_AUKN01000008.1,WP_051271420.1,57144,58353,+,PF00144,Beta-lactamase,2.9e-48,PF13354,Beta-lactamase enzyme family,8.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_019356923.1,Streptomyces sp. CNT318,NZ_AUKN01000008.1,WP_027760263.1,59286,58308,-,PF01370,NAD dependent epimerase/dehydratase family,4.9e-24,PF04321,RmlD substrate binding domain,1.6e-15,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,3.8e-13,PF07993,Male sterility protein,5.2e-8,NA,NA,NA
